iter	Passed	Remaining
738	75418	77663
739	75514	77555
740	75618	77455
741	75717	77349
742	75818	77246
743	75919	77144
744	76019	77039
745	76115	76931
746	76219	76831
747	76318	76726
748	76414	76618
749	76514	76514
750	76610	76406
751	76708	76300
752	76813	76200
753	76911	76095
754	77007	75987
755	77110	75886
756	77209	75781
757	77308	75676
758	77410	75574
759	77507	75467
760	77604	75360
761	77706	75259
762	77804	75152
763	77904	75049
764	78005	74946
765	78101	74839
766	78198	74731
767	78304	74634
768	78405	74531
769	78502	74424
770	78605	74323
771	78720	74234
772	78833	74141
773	78931	74036
774	79030	73931
775	79134	73831
776	79229	73723
777	79328	73618
778	79431	73517
779	79528	73410
780	79627	73305
781	79728	73203
782	79827	73098
783	79927	72995
784	80034	72897
785	80130	72790
786	80226	72682
787	80331	72583
788	80427	72476
789	80524	72370
790	80627	72268
791	80725	72163
792	80822	72057
793	80924	71955
794	81022	71850
795	81121	71745
796	81223	71643
797	81320	71537
798	81422	71435
799	81520	71330
800	81622	71228
801	81729	71131
802	81831	71029
803	81933	70927
804	82037	70827
805	82163	70745
806	82266	70645
807	82366	70541
808	82470	70441
809	82569	70337
810	82675	70238
811	82772	70132
812	82874	70030
813	82973	69926
814	83075	69824
815	83176	69721
816	83284	69624
817	83388	69524
818	83489	69421
819	83587	69316
820	83691	69215
821	83788	69110
822	83886	69005
823	83989	68903
824	84087	68798
825	84187	68695
826	84291	68595
827	84389	68489
828	84488	68385
829	84590	68283
830	84687	68178
831	84785	68073
832	84891	67974
833	84987	67867
834	85086	67763
835	85189	67662
836	85291	67560
837	85389	67455
838	85493	67355
839	85591	67250
840	85687	67144
841	85789	67042
842	85887	66937
843	85986	66833
844	86089	66731
845	86190	66629
846	86291	66526
847	86393	66425
848	86491	66320
849	86592	66218
850	86697	66118
851	86795	66013
852	86893	65908
853	86997	65808
854	87094	65703
855	87192	65598
856	87298	65499
857	87397	65395
858	87496	65291
859	87601	65191
860	87698	65086
861	87806	64988
862	87908	64887
863	88008	64783
864	88112	64684
865	88208	64577
866	88306	64472
867	88411	64373
868	88524	64279
869	88621	64173
